Trading_date,Trading_period,Node,Price
1/04/2020,1,ABY0111,59.71
1/04/2020,1,ALB0331,63.72
1/04/2020,1,ALB1101,63.63
1/04/2020,1,APS0111,59.43
1/04/2020,1,ARA2201,58.96
1/04/2020,1,ARG1101,64.83
1/04/2020,1,ARI1101,60.34
1/04/2020,1,ARI1102,61.62
1/04/2020,1,ASB0661,60.67
1/04/2020,1,ASY0111,63.05
1/04/2020,1,ATI2201,59.54
1/04/2020,1,ATU1101,64.64
1/04/2020,1,AVI2201,57.98
1/04/2020,1,BAL0331,63.01
1/04/2020,1,BDE0111,61.97
1/04/2020,1,BEN2201,58.11
1/04/2020,1,BEN2202,58.11
1/04/2020,1,BLN0331,66.04
1/04/2020,1,BOB0331,64.23
1/04/2020,1,BOB1101,64.18
1/04/2020,1,BPD1101,59.32
1/04/2020,1,BPE0331,60.54
1/04/2020,1,BPE0551,60.53
1/04/2020,1,BPE2201,60.49
1/04/2020,1,BPT1101,58.87
1/04/2020,1,BRB0331,64.37
1/04/2020,1,BRK0331,60.83
1/04/2020,1,BRY0661,61.4
1/04/2020,1,BWK1101,61.17
1/04/2020,1,CBG0111,61.64
1/04/2020,1,CLH0111,57.44
1/04/2020,1,CML0331,58.85
1/04/2020,1,COL0111,56.12
1/04/2020,1,COL0661,56.1
1/04/2020,1,CPK0111,60.45
1/04/2020,1,CPK0331,60.39
1/04/2020,1,CST0331,61.4
1/04/2020,1,CUL0331,62.53
1/04/2020,1,CUL0661,62.6
1/04/2020,1,CYD0331,58.72
1/04/2020,1,CYD2201,58.73
1/04/2020,1,DOB0331,64.65
1/04/2020,1,DOB0661,64.6
1/04/2020,1,DVK0111,61.35
1/04/2020,1,EDG0331,59.44
1/04/2020,1,EDN0331,63.79
1/04/2020,1,FHL0331,59.86
1/04/2020,1,FKN0331,59.17
1/04/2020,1,GFD0331,60.11
1/04/2020,1,GLN0331,62.99
1/04/2020,1,GLN0332,62.99
1/04/2020,1,GOR0331,62
1/04/2020,1,GYM0661,64.6
1/04/2020,1,GYT0331,61.31
1/04/2020,1,HAM0111,61.37
1/04/2020,1,HAM0331,61.5
1/04/2020,1,HAM0551,61.44
1/04/2020,1,HAM2201,61.4
1/04/2020,1,HAY0111,60.11
1/04/2020,1,HAY0331,60.07
1/04/2020,1,HAY1101,60.04
1/04/2020,1,HAY2201,60.02
1/04/2020,1,HEN0331,63.58
1/04/2020,1,HEN2201,63.54
1/04/2020,1,HEP0331,63.78
1/04/2020,1,HIN0331,61.55
1/04/2020,1,HKK0661,63.37
1/04/2020,1,HLY0331,61.83
1/04/2020,1,HLY2201,61.81
1/04/2020,1,HOB1101,63.52
1/04/2020,1,HOR0331,60.72
1/04/2020,1,HOR0661,60.65
1/04/2020,1,HTI0331,62.46
1/04/2020,1,HTI1101,62.23
1/04/2020,1,HUI0331,61.51
1/04/2020,1,HWA0331,61.46
