Trading_date,Trading_period,Node,Price
1/04/2020,2,ABY0111,142.92
1/04/2020,2,ALB0331,139.13
1/04/2020,2,ALB1101,138.95
1/04/2020,2,APS0111,149.21
1/04/2020,2,ARA2201,133.62
1/04/2020,2,ARG1101,151.52
1/04/2020,2,ARI1101,142.61
1/04/2020,2,ARI1102,137.61
1/04/2020,2,ASB0331,143.39
1/04/2020,2,ASB0661,143.33
1/04/2020,2,ASY0111,151.17
1/04/2020,2,ATI2201,134.74
1/04/2020,2,ATU1101,152.62
1/04/2020,2,AVI2201,137.39
1/04/2020,2,BAL0331,140.23
1/04/2020,2,BDE0111,139.8
1/04/2020,2,BEN2201,137.32
1/04/2020,2,BEN2202,137.32
1/04/2020,2,BLN0331,154.69
1/04/2020,2,BOB0331,139.26
1/03/2019,2,BOB1101,139.16
1/03/2019,2,BPD1101,141.69
1/03/2019,2,BPE0331,138.16
1/03/2019,2,BPE0551,137.8
1/03/2019,2,BPE2201,137.71
1/03/2019,2,BPT1101,141.95
1/03/2019,2,BRB0331,140.13
1/03/2019,2,BRK0331,137.51
1/03/2019,2,BRY0661,145.16
1/03/2019,2,BWK1101,138.66
1/03/2019,2,CBG0111,137.43
1/03/2019,2,CLH0111,147.65
1/03/2019,2,CML0331,137
1/03/2019,2,COL0111,146.6
1/03/2019,2,COL0661,146.56
1/03/2019,2,CPK0111,140.13
1/03/2019,2,CPK0331,139.99
1/03/2019,2,CST0331,136.26
1/03/2019,2,CUL0331,148.68
1/03/2019,2,CUL0661,148.84
1/03/2019,2,CYD0331,136.65
1/03/2019,2,CYD2201,136.68
1/03/2019,2,DOB0331,153.22
1/03/2019,2,DOB0661,153.33
1/03/2019,2,DVK0111,140.24
1/03/2019,2,EDG0331,134.77
1/03/2019,2,EDN0331,140.78
1/03/2019,2,FHL0331,135.76
1/03/2019,2,FKN0331,137.7
1/03/2019,2,GFD0331,138.98
1/03/2019,2,GLN0331,138.53
1/03/2019,2,GLN0332,138.29
1/03/2019,2,GOR0331,138.61
1/03/2019,2,GYM0661,154.7
1/03/2019,2,GYT0331,140.31
1/03/2019,2,HAM0111,136.83
1/03/2019,2,HAM0331,136.45
1/03/2019,2,HAM0551,136.32
1/03/2019,2,HAM2201,136.22
1/03/2019,2,HAY0111,139.22
1/03/2019,2,HAY0331,139.26
1/03/2019,2,HAY1101,138.82
1/03/2019,2,HAY2201,138.69
1/03/2019,2,HEN0331,139.04
1/03/2019,2,HEN2201,138.94
1/03/2019,2,HEP0331,139.88
1/03/2019,2,HIN0331,138.68
1/03/2019,2,HKK0661,156.53
1/03/2019,2,HLY0331,135.72
1/03/2019,2,HLY2201,135.66
1/03/2019,2,HOB1101,138.93
1/03/2019,2,HOR0331,153.31
1/03/2019,2,HOR0661,152.59
1/03/2019,2,HTI0331,139.67
1/03/2019,2,HTI1101,0
1/03/2019,2,HUI0331,135.17
1/03/2019,2,HWA0331,137.49
1/03/2019,2,HWA0332,137.56
1/03/2019,2,HWA1101,137.17
1/03/2019,2,HWA1102,137.17
1/03/2019,2,HWB0331,138.12
1/03/2019,2,HWB0332,138.13
1/03/2019,2,HWB1101,138.05
1/03/2019,2,HWB2201,138.05
1/03/2019,2,INV0331,137.99
1/03/2019,2,INV2201,137.94
1/03/2019,2,INV2202,137.94
1/03/2019,2,ISL0331,145.98
1/03/2019,2,ISL0661,146
1/03/2019,2,ISL2201,145.66
1/03/2019,2,KAI0111,152.08
1/03/2019,2,KAW0111,132.33
1/03/2019,2,KAW0112,132.83
1/03/2019,2,KAW0113,133.89
1/03/2019,2,KAW1101,132.91
1/03/2019,2,KAW2201,133.59
1/03/2019,2,KBY0661,151.97
1/03/2019,2,KBY0662,151.97
1/03/2019,2,KIK0111,150
1/03/2019,2,KIK2201,149.92
1/03/2019,2,KIN0111,143.51
1/03/2019,2,KIN0112,142.42
1/03/2019,2,KIN0113,143.57
1/03/2019,2,KIN0331,142.69
1/03/2019,2,KMO0331,135.98
1/03/2019,2,KOE1101,142.43
1/03/2019,2,KPA1101,135.83
1/03/2019,2,KPO1101,136.81
1/03/2019,2,KPU0661,140.68
1/03/2019,2,KUM0661,155.54
1/03/2019,2,KWA0111,139.34
1/03/2019,2,LFD1101,140.9
1/03/2019,2,LFD1102,140.9
1/03/2019,2,LTN0331,137.95
1/03/2019,2,MAN2201,129.61
1/03/2019,2,MAT1101,132.67
1/03/2019,2,MCH0111,150.71
1/03/2019,2,MDN1101,139.83
1/03/2019,2,MDN2201,139.68
1/03/2019,2,MGM0331,139.54
1/03/2019,2,MHO0331,136.65
1/03/2019,2,MKE1101,130.85
1/03/2019,2,MLG0111,139.09
1/03/2019,2,MLG0331,139.15
1/03/2019,2,MNG0331,139.03
1/03/2019,2,MNG1101,138.78
1/03/2019,2,MNI0111,133.82
1/03/2019,2,MPE1101,141.44
1/03/2019,2,MST0331,140.21
1/03/2019,2,MTI2201,134.53
1/03/2019,2,MTM0331,136.24
1/03/2019,2,MTN0331,138.66
1/03/2019,2,MTO0331,146.04
1/03/2019,2,MTR0331,138.96
1/03/2019,2,NAP2201,133.11
1/03/2019,2,NAP2202,133.11
1/03/2019,2,NMA0331,137.26
1/03/2019,2,NPK0331,140.3
1/03/2019,2,NPL0331,136.44
1/03/2019,2,NPL1101,136.38
1/03/2019,2,NPL2201,136.46
1/03/2019,2,NSY0331,139.4
1/03/2019,2,OAM0331,145.08
1/03/2019,2,OHA2201,137.52
1/03/2019,2,OHB2201,137.66
1/03/2019,2,OHC2201,137.41
1/03/2019,2,OHK2201,134.51
1/03/2019,2,OKI2201,133.32
1/03/2019,2,OKN0111,139.62
1/03/2019,2,ONG0331,139.3
1/03/2019,2,OPK0331,136.96
1/03/2019,2,ORO1101,151.69
1/03/2019,2,ORO1102,151.9
1/03/2019,2,OTA0221,138.96
